MR_gene,MR_Cutoff,eQTL_chrom,eQTL_start_bp,eQTL_end_bp,eQTL_start_cM,eQTL_end_cM,eQTL_candidate,min_eQTL_LOD,max_eQTL_LOD
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002244,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002243,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002242,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002241,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002240,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002239,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002238,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002237,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002236,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002235,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002233,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002234,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002232,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002231,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002230,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002229,17.320546828872466,18.82201123478325
Bra002255,50,A10,10755931,11427369,47.1925764739657,51.882543294162495,Bra002228,17.320546828872466,18.82201123478325
