.id,MR_Cutoff,trt,name,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score
blup.mr.graph.UN.2011.10,10,UN,Bra037542,A01,20927607,20928214,AT3G19030.1,AT3G19030,NA,NA,87.432,183,23,0,106,288,1,183,1.4e-58,226
blup.mr.graph.UN.2011.20,20,UN,Bra008430,A02,14597701,14598768,AT1G80920.1,AT1G80920,AtJ8;AtToc12;DJC22;J8;Toc12,A nuclear encoded soluble protein found in the chloroplast stroma.,90.5,400,35,1,199,595,93,492,1.42e-155,549
blup.mr.graph.UN.2011.30,30,UN,Bra006755_Bra006756,A03,4918760,4925611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
blup.mr.graph.UN.2011.30,30,UN,Bra039792,A04,3869642,3871082,AT3G53490.1,AT3G53490,NA,NA,82.839,641,97,4,176,805,678,40,0,654
blup.mr.graph.UN.2011.30,30,UN,Bra025250,A06,21504086,21508384,AT3G27110.1,AT3G27110,NA,NA,86.789,1037,129,2,235,1265,1035,1,0,1251
blup.mr.graph.UN.2011.30,30,UN,Bra028410,A07,13812227,13814025,AT5G38510.1,AT5G38510,NA,NA,81.56,1128,131,8,1,1052,1305,179,0,1130
blup.mr.graph.UN.2011.30,30,UN,Bra017468,A09,13486185,13488948,AT5G47730.1,AT5G47730,NA,NA,90.22,1002,97,1,583,1584,1,1001,0,1362
blup.mr.graph.UN.2011.50,50,UN,Bra038899,A01,15641416,15643341,AT3G51430.1,AT3G51430,SSL5;YLS2,"Although this enzyme is predicted to encode a strictosidine synthase (SS), it lacks a conserved catalytic glutamate residue found in active SS enzymes and it is not expected to have SS activity.",81.047,1108,203,5,297,1402,1103,1,0,1036
blup.mr.graph.UN.2011.50,50,UN,Bra040225,A01,25762534,25766140,AT3G06350.1,AT3G06350,EMB3004;MEE32,NA,86.414,1818,211,6,128,1915,1,1812,0,2170
blup.mr.graph.UN.2011.50,50,UN,Bra028781,A02,703916,705981,AT5G04740.1,AT5G04740,ACR12,NA,84.699,915,110,4,1,894,906,1,0,1029
blup.mr.graph.UN.2011.50,50,UN,Bra028603,A02,1509839,1511639,AT5G10050.1,AT5G10050,NA,NA,83.735,498,81,0,155,652,837,340,1.84e-150,533
blup.mr.graph.UN.2011.50,50,UN,Bra006694,A03,4665446,4667777,AT5G59780.3,AT5G59780,ATMYB59;ATMYB59-1;ATMYB59-2;ATMYB59-3;MYB59,Encodes a putative transcription factor (MYB59).,90.395,583,50,2,629,1211,119,695,0,796
blup.mr.graph.UN.2011.50,50,UN,Bra012767,A03,22388191,22390290,AT4G15760.1,AT4G15760,MO1,Encodes a protein with similarity to monooxygenases that are known to degrade salicylic acid (SA).,85.256,1248,179,2,224,1469,1269,25,0,1416
blup.mr.graph.UN.2011.50,50,UN,Bra032711,A04,5635165,5637779,AT4G23250.1,AT4G23250,CRK17;DUF26-21;EMB1290;RKC1,NA,87.357,1139,138,1,679,1811,889,2027,0,1406
blup.mr.graph.UN.2011.50,50,UN,Bra025497,A04,8699173,8703567,AT5G41410.1,AT5G41410,BEL1,"Homeodomain protein required for ovule identity.Loss of function mutations show homeotic conversion of integuments to carpels.Forms heterodimers with STM and KNAT1. Interacts with AG-SEP heterodimers is thought to restrict WUS expression. BEL interacts with MADS box dimers composed of SEP1(or SEP3) and AG, SHP1, SHP2 and STK. The interaction of BEL1 with AG-SEP3 is required for proper integument development and specification of integument identity.",84.512,1853,199,17,503,2284,1,1836,0,2051
blup.mr.graph.UN.2011.50,50,UN,Bra032157,A04,10826957,10829863,AT2G23580.1,AT2G23580,ABE4;ATMES4;MES4,"Encodes a protein shown to have carboxylesterase activity and methyl salicylate esterase activity in vitro. This protein does not act on methyl IAA, methyl JA, MeGA4, or MEGA9 in vitro.",81.807,786,119,2,1,762,792,7,0,785
blup.mr.graph.UN.2011.50,50,UN,Bra034353,A04,12450468,12452187,AT2G27450.1,AT2G27450,ATNLP1;CPA;NLP1,Encodes N-carbamoylputrescine amidohydrolase that is involved in putrescine and polyamine biosynthesis.,90.428,888,85,0,5,892,896,9,0,1218
blup.mr.graph.UN.2011.50,50,UN,Bra017236,A04,15950721,15952589,AT2G36430.1,AT2G36430,NA,NA,82.335,1302,217,4,147,1445,40,1331,0,1305
